기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 부여
기간 : 20150101~20200416

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2015-03-14,236,2.6,-5.5,11.3
2015-03-15,236,4.3,-4.3,15
2015-03-16,236,8.1,-1.8,20.3
2015-03-17,236,11.2,0.9,20.4
2015-03-18,236,9.3,7.7,12.7
2015-03-19,236,12.7,7.6,21.3
2015-03-20,236,12.1,7,21.8
2015-03-21,236,10,2.1,18.7
2015-03-22,236,7.7,1,16.4
2015-03-23,236,3.8,-3.7,10.6
2015-03-24,236,3.4,-4,12.2
2015-03-25,236,4.6,-5,14.6
2015-03-26,236,6.5,-3.4,17.6
2015-03-27,236,7.2,-2.3,18.1
2015-03-28,236,8.4,-2.1,18.6
2015-03-29,236,11,6.4,18.9
2015-03-30,236,11.8,4,21.7
2015-03-31,236,10.7,6,12.8
2015-04-01,236,12.3,9.8,16.6
2015-04-02,236,16.3,8.1,23.3
2015-04-03,236,11.2,8.5,17.4
2015-04-04,236,12,7.8,17.1
2015-04-05,236,10.4,8.7,11.9
2015-04-06,236,10.3,6.5,12.9
2015-04-07,236,8.5,3.6,14.4
2015-04-08,236,9.2,5.7,14.3
2015-04-09,236,8.8,3.5,15.6
2015-04-10,236,10.5,1.9,18.8
2015-04-11,236,11.8,2,21.7
2015-04-12,236,12.6,4.5,18.6
2015-04-13,236,11.4,8.7,13.6
2015-04-14,236,9.1,6.9,12.5
2015-04-15,236,10.9,6.9,17.8
2015-04-16,236,9.5,4.1,18.1
2015-04-17,236,8.8,1.6,17
2015-04-18,236,12.3,0.8,22.1
2015-04-19,236,13.8,11.6,16
2015-04-20,236,11.9,7.4,15.2
2015-04-21,236,11.8,5,21.1
2015-04-22,236,11.9,4.9,19.3
2015-04-23,236,12.2,6.3,21.3
2015-04-24,236,14.4,6.8,23.3
2015-04-25,236,13.9,3.8,24.3
2015-04-26,236,15.5,4.4,25.1
2015-04-27,236,16.4,6.7,25.6
2015-04-28,236,16.4,7.8,23.7
2015-04-29,236,16.4,14,20.5
2015-04-30,236,19.3,14.2,25.9
2015-05-01,236,18.9,12.8,26.4
2015-05-02,236,19.6,13,26.3
2015-05-03,236,18.5,16.8,21.7
2015-05-04,236,14.1,6.6,21.3
2015-05-05,236,11.7,3.5,20
2015-05-06,236,13.2,4.5,22.3
2015-05-07,236,14.6,5.7,24
2015-05-08,236,14.6,6.5,19.7
2015-05-09,236,17.4,12.5,24.4
2015-05-10,236,17.7,11.5,25.8
2015-05-11,236,17.1,11.2,23.6
2015-05-12,236,14.5,11,18.2
2015-05-13,236,18.8,13.1,23.5
2015-05-14,236,20.3,12.5,27.6
2015-05-15,236,18.5,14.6,21.7
2015-05-16,236,17.9,11.3,26.2
2015-05-17,236,17.3,8.6,27
2015-05-18,236,17.3,12.7,23.2
2015-05-19,236,16.7,12.5,22.3
2015-05-20,236,15.5,10.9,22.5
2015-05-21,236,16.9,8.9,26.8
2015-05-22,236,19.2,11.3,27.9
2015-05-23,236,19.5,11.8,28.4
2015-05-24,236,19.1,10.5,28.7
2015-05-25,236,18.3,9.2,27.8
2015-05-26,236,19.7,12.2,31
2015-05-27,236,21.5,10,31.3
2015-05-28,236,22.5,15.1,31.6
2015-05-29,236,22.1,14.2,30
2015-05-30,236,17.6,14.2,22.9
2015-05-31,236,19.9,13.5,29.3
2015-06-01,236,20.6,13.1,28.9
2015-06-02,236,21,15.6,27.5
2015-06-03,236,21.2,15,27
2015-06-04,236,20.6,11.2,29.5
2015-06-05,236,17.9,13,22.1
2015-06-06,236,20.2,11.7,28.4
2015-06-07,236,21.6,14.4,29.8
2015-06-08,236,20.4,15.6,26.1
2015-06-09,236,21.3,15.2,28.1
2015-06-10,236,23.2,15.4,32.3
2015-06-11,236,21.3,16.5,25.1
2015-06-12,236,22.4,17.9,28.8
2015-06-13,236,24.4,17.5,31.6
2015-06-14,236,21.7,17.9,26.7
2015-06-15,236,23.5,20.5,29.4
2015-06-16,236,23,19.4,29.6
2015-06-17,236,22.1,17.7,27.3
2015-06-18,236,24.6,19.3,30.3
2015-06-19,236,23.6,18.5,29.8
2015-06-20,236,19.5,17.3,22.9
2015-06-21,236,22,17.3,28.3
2015-06-22,236,22.1,17.5,28.4
2015-06-23,236,22.8,15.8,30
2015-06-24,236,23.1,19.6,29.3
2015-06-25,236,21.1,18,25.3
2015-06-26,236,20.6,18.5,23.2
2015-06-27,236,22.9,17.5,30.3
2015-06-28,236,23.2,17.3,30.4
2015-06-29,236,24.2,19.3,30.5
2015-06-30,236,21.7,19.4,26.2
2015-07-01,236,21.9,17.9,27.5
2015-07-02,236,22,16.9,27.8
2015-07-03,236,22.1,17,29.2
2015-07-04,236,21,13.7,28.5
2015-07-05,236,22.2,15.5,28.6
2015-07-06,236,23.2,18.4,29.2
2015-07-07,236,19.5,17.6,21.8
2015-07-08,236,20.9,17.6,23.5
2015-07-09,236,21.8,20.1,24.2
2015-07-10,236,26.1,20.5,32.9
2015-07-11,236,26.3,22.6,32.9
2015-07-12,236,24.5,23.1,26.4
2015-07-13,236,22.9,21.7,24.7
2015-07-14,236,24.8,21.8,30.7
2015-07-15,236,26,21.1,32.9
2015-07-16,236,24.8,21.1,30.2
2015-07-17,236,23,18.4,28.7
2015-07-18,236,23.8,21.6,27.2
2015-07-19,236,24.8,21.7,29.8
2015-07-20,236,27,23.6,32
2015-07-21,236,26.1,23.2,30.7
2015-07-22,236,26.7,23.9,30.1
2015-07-23,236,25.6,23.9,27.7
2015-07-24,236,24.9,24.2,25.8
2015-07-25,236,26.7,25.2,28.9
2015-07-26,236,27.1,22.5,32.5
2015-07-27,236,24.9,22.8,27.1
2015-07-28,236,26,23.5,30.2
2015-07-29,236,26.4,23.5,31
2015-07-30,236,28.3,24.8,33.3
2015-07-31,236,27.7,24,32.8
2015-08-01,236,27.8,24.8,32.8
2015-08-02,236,27.5,25.4,31.5
2015-08-03,236,27.3,22.7,32.6
2015-08-04,236,27,21.9,32.4
2015-08-05,236,27.5,23.8,32.5
2015-08-06,236,28.2,22.3,34.5
2015-08-07,236,29.2,24,35.8
2015-08-08,236,27.5,23.2,33.9
2015-08-09,236,26.6,22.9,31.6
2015-08-10,236,25.3,21.9,29.6
2015-08-11,236,24.5,21.3,28
2015-08-12,236,25.4,21.5,30.8
2015-08-13,236,24.9,21.2,31.1
2015-08-14,236,25.3,20.8,31.4
2015-08-15,236,26.6,21.4,32.7
2015-08-16,236,25,22.3,30.3
2015-08-17,236,26.2,20.5,32.4
2015-08-18,236,26.2,22,31.6
2015-08-19,236,25.4,21.5,30.2
2015-08-20,236,23.9,21.5,28
2015-08-21,236,23.9,20.9,29.3
2015-08-22,236,23.9,20.7,28
2015-08-23,236,24.5,20.4,31.1
2015-08-24,236,25.8,22.8,29.4
2015-08-25,236,21.4,19.1,24.9
2015-08-26,236,22.8,19,28.2
2015-08-27,236,23.6,18.8,28.9
2015-08-28,236,23.4,19.6,29
2015-08-29,236,22.9,18.2,29.8
2015-08-30,236,23.9,17.3,30.8
2015-08-31,236,24.7,18.5,30.8
2015-09-01,236,25.3,21.7,29.1
2015-09-02,236,22.4,20.4,28
2015-09-03,236,22.2,18.7,28.4
2015-09-04,236,22.8,17.6,29.3
2015-09-05,236,22.4,19.8,26.5
2015-09-06,236,21.4,17.8,25.9
2015-09-07,236,21.2,16.2,28.1
2015-09-08,236,20.5,14.9,27.3
2015-09-09,236,20.9,14.1,28.4
2015-09-10,236,21,13.9,28.6
2015-09-11,236,19.4,14.7,26
2015-09-12,236,17.8,13.6,21.4
2015-09-13,236,17.8,13.2,25.8
2015-09-14,236,19.1,11.1,27
2015-09-15,236,19.1,12.7,26.5
2015-09-16,236,19.5,13.4,25.2
2015-09-17,236,20.9,14.8,28
2015-09-18,236,20.7,14.8,27.8
2015-09-19,236,20.3,14.5,27.4
2015-09-20,236,19.1,12.6,26.8
2015-09-21,236,20.3,14.5,29
2015-09-22,236,20.8,13.4,30.5
2015-09-23,236,19.4,15.9,23.2
2015-09-24,236,21.2,16.3,27.2
2015-09-25,236,20.7,15.3,27
2015-09-26,236,19.1,13.8,27
2015-09-27,236,18.9,10.6,29.4
2015-09-28,236,21.1,11.4,30.7
2015-09-29,236,22.2,13.2,29.6
2015-09-30,236,20.5,17.6,24.7
2015-10-01,236,17.6,13.7,23
2015-10-02,236,14.1,6.5,21.7
2015-10-03,236,16.9,10.6,24.6
2015-10-04,236,15.3,8.4,24.6
2015-10-05,236,16.5,9.8,26.2
2015-10-06,236,15.9,7.4,26.3
2015-10-07,236,16.9,8.7,25.7
2015-10-08,236,16.6,12.2,24.4
2015-10-09,236,14.8,7.8,20.8
2015-10-10,236,12.2,5.5,21.8
2015-10-11,236,11.6,7.6,18
2015-10-12,236,12.8,8,18.8
2015-10-13,236,12.4,5.6,21.3
2015-10-14,236,14,7.3,23.6
2015-10-15,236,15.4,10.1,24.3
2015-10-16,236,14.8,10.2,23.3
2015-10-17,236,15.6,9.5,26.1
2015-10-18,236,14.5,7.7,25.2
2015-10-19,236,15.1,9.6,23.9
2015-10-20,236,15,8.7,23.1
2015-10-21,236,16.2,10.4,24.6
2015-10-22,236,15.7,10.1,24.1
2015-10-23,236,15.3,11.1,22.2
2015-10-24,236,14.4,8.7,21.4
2015-10-25,236,14.1,7.9,22.2
2015-10-26,236,15.6,8.7,21.6
2015-10-27,236,12.6,6.6,16.9
2015-10-28,236,9.9,3.8,17.5
2015-10-29,236,10.2,3.9,16.8
2015-10-30,236,6.9,1.6,12.3
2015-10-31,236,5.2,-1.5,13
2015-11-01,236,5.3,0.5,9.7
2015-11-02,236,8.9,3.1,16.1
2015-11-03,236,9.1,3,19.2
2015-11-04,236,9.3,2.7,20.5
2015-11-05,236,11.6,5.5,20.5
2015-11-06,236,14.1,6.9,20.9
2015-11-07,236,13.3,12,14
2015-11-08,236,13.1,12.6,13.8
2015-11-09,236,13.3,10.5,16
2015-11-10,236,9.1,5.7,14.4
2015-11-11,236,10.4,5.4,17.2
2015-11-12,236,13.2,6.8,20.8
2015-11-13,236,11.6,10.6,13.3
2015-11-14,236,13.8,11.8,16.6
2015-11-15,236,12.5,9.1,19
2015-11-16,236,12.7,8.3,17.3
2015-11-17,236,13.7,10.8,16.9
2015-11-18,236,12.1,9.5,14.2
2015-11-19,236,9.5,8.3,11.1
2015-11-20,236,11.2,8.5,15.6
2015-11-21,236,9.5,5.7,13.7
2015-11-22,236,10.7,3.4,16.9
2015-11-23,236,11.2,9.7,12.4
2015-11-24,236,7.5,5.2,9.8
2015-11-25,236,5.7,3.3,7.3
2015-11-26,236,0.4,-0.9,3.7
2015-11-27,236,0.5,-1.6,1.5
2015-11-28,236,3,0.9,6.8
2015-11-29,236,6.2,3.4,11.7
2015-11-30,236,5.7,-0.2,11.1
2015-12-01,236,3.2,-2.4,12.6
2015-12-02,236,5.9,1.5,9.6
2015-12-03,236,3.7,-0.2,7.5
2015-12-04,236,2.1,-0.4,4.7
2015-12-05,236,4.5,1.1,8.4
2015-12-06,236,1.8,-2.8,7.8
2015-12-07,236,1.4,-5,9.1
2015-12-08,236,2.2,-3,10.8
2015-12-09,236,4.9,-1.9,13.1
2015-12-10,236,8.2,5.9,9.7
2015-12-11,236,7.5,4.9,11.3
2015-12-12,236,6,0.3,11.3
2015-12-13,236,8.1,5.2,14.1
2015-12-14,236,6.8,5.7,7.8
2015-12-15,236,7,4.4,8.6
2015-12-16,236,0.6,-1.9,4.8
2015-12-17,236,-2.6,-5.6,1.4
2015-12-18,236,-1.2,-6.7,3.5
2015-12-19,236,2.1,-1.8,8.5
2015-12-20,236,1,-2.6,5.4
2015-12-21,236,4,-0.7,10.8
2015-12-22,236,3,-1.5,6.9
2015-12-23,236,4.9,0.1,9.8
2015-12-24,236,1.9,-2.3,8.5
2015-12-25,236,0.5,-4.2,6.3
2015-12-26,236,3.1,-2.8,11.4
2015-12-27,236,-1.7,-6.4,2.4
2015-12-28,236,-3.2,-8,2.5
2015-12-29,236,-1.8,-8.3,4.6
2015-12-30,236,0.6,-5.2,6.3
2015-12-31,236,1.5,-3,6.9
2016-01-01,236,1.3,-5.3,7.4
2016-01-02,236,4.9,-1,12.2
2016-01-03,236,5.4,0.5,12.6
2016-01-04,236,4.3,-1.8,9.4
2016-01-05,236,-0.6,-4.2,3.8
2016-01-06,236,-0.4,-6.3,5.1
2016-01-07,236,0.5,-3.1,3.9
2016-01-08,236,0.1,-2.3,3.3
2016-01-09,236,1.5,-2.4,6.5
2016-01-10,236,0.1,-3.8,5.4
2016-01-11,236,-1.6,-5.6,4
2016-01-12,236,-2.8,-8.6,3.2
2016-01-13,236,-0.7,-3.2,1.3
2016-01-14,236,-1.5,-4.3,3.4
2016-01-15,236,-0.2,-4.9,6.1
2016-01-16,236,0,-5.3,7.3
2016-01-17,236,2.4,-1.3,6
2016-01-18,236,-2.6,-6.6,2.7
2016-01-19,236,-7.5,-10.3,-4.9
2016-01-20,236,-7.6,-10.5,-2.5
2016-01-21,236,-5.7,-9.8,-0.4
2016-01-22,236,-5.9,-12.8,-0.3
2016-01-23,236,-7.4,-10.1,-3.7
2016-01-24,236,-12.2,-15.9,-8.1
2016-01-25,236,-9.3,-17.5,-3.4
2016-01-26,236,-2,-6,4.1
2016-01-27,236,-3,-9.4,5.3
2016-01-28,236,-0.1,-7.5,2.8
2016-01-29,236,3.3,1.9,5.3
2016-01-30,236,2.4,-2.8,9.1
2016-01-31,236,-2,-5.2,2.6
2016-02-01,236,-4.3,-7.9,1.1
2016-02-02,236,-4.4,-10.7,2.6
2016-02-03,236,-3.1,-10,5.6
2016-02-04,236,-1.8,-8,6.1
2016-02-05,236,-1.7,-7.8,5.5
2016-02-06,236,-2.5,-6.8,3.1
2016-02-07,236,-3.5,-10.5,4.4
2016-02-08,236,1.2,-7.9,7.8
2016-02-09,236,1.5,-4.5,7.7
2016-02-10,236,1.4,-6.3,12.5
2016-02-11,236,6.5,-3.3,16.3
2016-02-12,236,8.8,6.5,10.5
2016-02-13,236,11.6,5.6,17.8
2016-02-14,236,-0.2,-3.6,5.6
2016-02-15,236,-3,-6.1,0.7
2016-02-16,236,0.1,-3.7,4.4
2016-02-17,236,0.1,-4.1,6.7
2016-02-18,236,3.2,-4.6,9.8
2016-02-19,236,2.3,-2.7,6.2
2016-02-20,236,2.2,-2.7,8.3
2016-02-21,236,-0.2,-6.3,6.2
2016-02-22,236,2.5,-2.1,6.4
2016-02-23,236,2.8,-2.5,8
2016-02-24,236,-2,-7,3.4
2016-02-25,236,-0.2,-7.2,6.4
2016-02-26,236,2.4,-1.4,6.4
2016-02-27,236,5.8,1.9,11
2016-02-28,236,2.1,-2.4,4.8
2016-02-29,236,-1.8,-5.2,0.4
2016-03-01,236,-2.2,-8.1,4.5
2016-03-02,236,1.9,-5.5,9.6
2016-03-03,236,6.7,-0.8,15.9
2016-03-04,236,9.5,3.8,11.8
2016-03-05,236,12.4,7.9,19
2016-03-06,236,9.7,6.3,15.1
2016-03-07,236,8.3,2.8,16.4
2016-03-08,236,4.7,1.9,7.7
2016-03-09,236,2.2,-0.4,7.4
2016-03-10,236,0.5,-3,5
2016-03-11,236,0.2,-5.5,6.4
2016-03-12,236,1.4,-6.1,9.2
2016-03-13,236,4,-0.2,9.8
2016-03-14,236,4.1,-1.6,10.3
2016-03-15,236,4.4,-4.7,13.8
2016-03-16,236,7,0.4,15.5
2016-03-17,236,8.6,-2.5,18.1
2016-03-18,236,10,6.7,15.7
2016-03-19,236,8.9,2.8,18.1
2016-03-20,236,7.2,0.9,16.2
2016-03-21,236,7.2,1.3,16.5
2016-03-22,236,6.8,-0.6,16.4
2016-03-23,236,7.5,2.9,14.4
2016-03-24,236,6,-0.2,14.1
2016-03-25,236,4.8,-1.8,12.4
2016-03-26,236,3.8,-2.6,12.6
2016-03-27,236,5,-2.6,14.7
2016-03-28,236,7.5,-2.9,17.6
2016-03-29,236,10.6,1.9,18.3
2016-03-30,236,12.1,4,21.4
2016-03-31,236,12.8,3.5,22.7
2016-04-01,236,12.2,1.8,24.3
2016-04-02,236,13.4,2.8,23.5
2016-04-03,236,12.8,7.5,16.1
2016-04-04,236,13,5.6,20.2
2016-04-05,236,10,0.9,20.4
2016-04-06,236,12.4,3.2,23.1
2016-04-07,236,12.8,8.6,19.3
2016-04-08,236,12.2,6.9,21.7
2016-04-09,236,13.4,7.6,22.8
2016-04-10,236,14.1,8,23.6
2016-04-11,236,12.7,5.6,21.2
2016-04-12,236,14.1,7.8,22.5
2016-04-13,236,14.5,10.2,21.4
2016-04-14,236,13.9,9.2,21
2016-04-15,236,14.2,7.6,23.8
2016-04-16,236,14.2,6.7,20.5
2016-04-17,236,11.8,8.9,16.4
2016-04-18,236,11.5,5.8,17.2
2016-04-19,236,11.2,4.6,19.3
2016-04-20,236,12.1,5.2,18.4
2016-04-21,236,13.6,10.8,18.8
2016-04-22,236,15.9,12.2,23.6
2016-04-23,236,14.4,9.1,22.5
2016-04-24,236,14.5,5.4,24.1
2016-04-25,236,16.5,7.2,27.4
2016-04-26,236,18.1,7.9,27.8
2016-04-27,236,13.4,11.9,16.8
2016-04-28,236,14.3,9.1,21.3
2016-04-29,236,13.8,8.5,20.8
2016-04-30,236,15.2,7.8,22.9
2016-05-01,236,17.5,8.3,26.8
2016-05-02,236,18.9,11.7,27.3
2016-05-03,236,14.7,11.5,19.6
2016-05-04,236,16.5,9.8,22.7
2016-05-05,236,18.4,7.7,26.8
2016-05-06,236,18.5,12.2,24.2
2016-05-07,236,15.8,8.7,23.9
2016-05-08,236,17.5,7.9,26.2
2016-05-09,236,18.6,12.7,26
2016-05-10,236,13.6,12.2,15.8
2016-05-11,236,16,10.9,22.7
2016-05-12,236,17.1,10,24.4
2016-05-13,236,16.7,13.2,22.8
2016-05-14,236,18.4,11.5,26.1
2016-05-15,236,18,12.2,24.9
2016-05-16,236,15.3,10,22.3
2016-05-17,236,18.1,9.1,27.8
2016-05-18,236,20.9,11.1,30.5
2016-05-19,236,21.3,12.7,31.6
2016-05-20,236,21.2,12.8,30.3
2016-05-21,236,21.5,13.8,29.7
2016-05-22,236,20.8,11.6,30.5
2016-05-23,236,21.8,12.7,29.7
2016-05-24,236,17.7,13.6,21
2016-05-25,236,18.6,12.3,25.3
2016-05-26,236,20.2,14.4,25.9
2016-05-27,236,21.8,16.3,29.3
2016-05-28,236,20.5,16.2,27.3
2016-05-29,236,20.1,15.4,26.8
2016-05-30,236,20.2,12.4,28.9
2016-05-31,236,20.4,15.4,27.4
2016-06-01,236,21.9,16.9,28.7
2016-06-02,236,21.4,16.6,27.9
2016-06-03,236,22,16.4,28.5
2016-06-04,236,19,15.6,21.6
2016-06-05,236,22.6,13.9,30.1
2016-06-06,236,20.6,17.1,25.6
2016-06-07,236,21.9,18.4,26.4
2016-06-08,236,21.8,18.2,26.6
2016-06-09,236,23.3,16.5,30.5
2016-06-10,236,23.5,17.5,30.3
2016-06-11,236,24.5,20.1,29.1
2016-06-12,236,23.9,21.5,26.4
2016-06-13,236,23.1,19.4,29.3
2016-06-14,236,22.5,18.4,28.9
2016-06-15,236,21.3,18.3,25.5
2016-06-16,236,21,17.2,25.6
2016-06-17,236,21.9,15.7,28.8
2016-06-18,236,23.2,16.5,30.1
2016-06-19,236,24.2,19.2,29.2
2016-06-20,236,22.5,18.8,27.8
2016-06-21,236,24.3,18.2,31.6
2016-06-22,236,23.6,21.1,30.7
2016-06-23,236,24.5,20.8,29.8
2016-06-24,236,21.5,17.9,26.3
2016-06-25,236,22,16.9,27
2016-06-26,236,22.5,16.1,29.4
2016-06-27,236,22.3,16.7,29
2016-06-28,236,23,16.6,29.7
2016-06-29,236,23.5,19.3,27.6
2016-06-30,236,24.9,22.9,28.8
2016-07-01,236,24.8,23.5,28.2
2016-07-02,236,24,21.7,28.9
2016-07-03,236,22.1,20.2,24.5
2016-07-04,236,22.9,20.2,26.8
2016-07-05,236,26.3,23.3,30.3
2016-07-06,236,24.3,22.3,27.7
2016-07-07,236,25.6,22.3,29.6
2016-07-08,236,27.3,21.9,33.4
2016-07-09,236,26.7,21.2,34.1
2016-07-10,236,26,20.7,32.4
2016-07-11,236,25.9,21.1,32.2
2016-07-12,236,24.7,21.8,29
2016-07-13,236,25.5,21.2,31.2
2016-07-14,236,25.5,20.6,31.6
2016-07-15,236,25.6,22.4,30.4
2016-07-16,236,22.1,20.4,25.6
2016-07-17,236,22.7,21,25.1
2016-07-18,236,23.6,18.5,29.7
2016-07-19,236,26.2,19.2,32.5
2016-07-20,236,27.5,22.6,33.7
2016-07-21,236,27.5,22.8,33.1
2016-07-22,236,28.4,22.7,34.1
2016-07-23,236,28.2,23.2,33
2016-07-24,236,28.2,24.2,32.7
2016-07-25,236,27.9,24.3,32.6
2016-07-26,236,27.6,22.8,32.8
2016-07-27,236,27.6,24,31.6
2016-07-28,236,27.3,22.6,31.6
2016-07-29,236,27.7,22.6,32.7
2016-07-30,236,28.5,24.3,33.7
2016-07-31,236,28.3,24.1,34.3
2016-08-01,236,28.1,23.3,32.4
2016-08-02,236,26.7,22.6,32.1
2016-08-03,236,27,22.6,33.1
2016-08-04,236,29.1,23.7,34.9
2016-08-05,236,29.4,24.3,35.6
2016-08-06,236,28.6,24,34.9
2016-08-07,236,27.8,22.9,34.5
2016-08-08,236,28.9,23.4,35
2016-08-09,236,28.2,24.2,34
2016-08-10,236,29,24.9,34.5
2016-08-11,236,29.2,22.7,35.7
2016-08-12,236,29,23.1,36.2
2016-08-13,236,28.7,23.3,34.5
2016-08-14,236,29,24.4,35.2
2016-08-15,236,28.9,25.2,34.5
2016-08-16,236,28.2,23.9,34.8
2016-08-17,236,27.8,22.7,34.7
2016-08-18,236,28.4,23.5,34.7
2016-08-19,236,28.4,23.8,34.2
2016-08-20,236,29.2,25,35.9
2016-08-21,236,28.6,24.8,35.2
2016-08-22,236,28.6,22.3,35.4
2016-08-23,236,27.7,24.3,33.2
2016-08-24,236,28.6,24.3,34.4
2016-08-25,236,27.9,22.3,34.5
2016-08-26,236,22,18.9,26.5
2016-08-27,236,22.5,18.1,28
2016-08-28,236,20.4,17.5,26.4
2016-08-29,236,21.1,14.1,28.1
2016-08-30,236,20.2,15.2,24.9
2016-08-31,236,21.9,18.5,25.3
2016-09-01,236,25.9,21.9,30.7
2016-09-02,236,23.5,21.5,27.3
2016-09-03,236,24.9,20.4,31.7
2016-09-04,236,26.2,20.5,31.7
2016-09-05,236,25.8,21.5,31.2
2016-09-06,236,23.3,20.3,27.3
2016-09-07,236,22.1,18.1,28.2
2016-09-08,236,23,18.2,29.5
2016-09-09,236,22.9,18.8,29.6
2016-09-10,236,22.3,17.3,28.9
2016-09-11,236,23,17.5,29.2
2016-09-12,236,21.9,18.7,27
2016-09-13,236,23,17.2,31.3
2016-09-14,236,23.1,18.5,30
2016-09-15,236,22.4,16.6,30.1
2016-09-16,236,21.3,19.4,23.9
2016-09-17,236,20.3,19.3,20.9
2016-09-18,236,19.4,17.8,22.4
2016-09-19,236,21,17.3,25.6
2016-09-20,236,19.3,14.2,25.3
2016-09-21,236,19,12.7,24.9
2016-09-22,236,20.1,15.6,26.7
2016-09-23,236,19.6,13.2,27.4
2016-09-24,236,20.4,14,28.1
2016-09-25,236,20,15.9,26.6
2016-09-26,236,22.1,17,28.5
2016-09-27,236,22.1,19.5,27.2
2016-09-28,236,22,17.5,26.9
2016-09-29,236,20.6,17.4,23.2
2016-09-30,236,17.6,15.4,18.8
2016-10-01,236,18.5,15.5,22.2
2016-10-02,236,20.6,17.8,24.1
2016-10-03,236,23.1,17.3,27.8
2016-10-04,236,21.6,15.6,29.6
2016-10-05,236,19.3,16,26.1
2016-10-06,236,17.8,12.4,25
2016-10-07,236,17.8,12.2,24.9
2016-10-08,236,17.6,15,22.9
2016-10-09,236,12.3,8.1,17.5
2016-10-10,236,12.1,8,18.6
2016-10-11,236,13.5,8.8,21.8
2016-10-12,236,14.2,9.2,22.5
2016-10-13,236,13.1,9.4,20.1
2016-10-14,236,14.7,7.6,23.6
2016-10-15,236,16.6,8.7,25.3
2016-10-16,236,16.1,13.8,20.6
2016-10-17,236,17.5,12.7,23.6
2016-10-18,236,14.5,11.1,21.8
2016-10-19,236,15.7,11.5,24.1
2016-10-20,236,16.5,10.5,24
2016-10-21,236,17.1,15.4,19.4
2016-10-22,236,17.4,14,22.6
2016-10-23,236,15.2,11.6,19.1
