"CUST_ID","DIVIDED_SET","SIU_CUST_YN","SEX","AGE","RESI_COST","RESI_TYPE_CODE","FP_CAREER","CUST_RGST","CTPR","OCCP_GRP_1","OCCP_GRP_2","TOTALPREM","MINCRDT","MAXCRDT","WEDD_YN","MATE_OCCP_GRP_1","MATE_OCCP_GRP_2","CHLD_CNT","LTBN_CHLD_AGE","MAX_PAYM_YM","MAX_PRM","CUST_INCM","RCBASE_HSHD_INCM","JPBASE_HSHD_INCM"
28,1,0,1,6,17777,20,0,200105,4,3,"사무직",210810180,2,99,1,2,"3차산업 종사자",1,29,201108,2664440,0,6889,0
29,1,0,2,3,0,0,0,200106,7,3,"공무원",20961533,8,8,1,5,"2차산업 종사자",3,15,200105,467400,3574,0,7331
30,1,0,2,5,4865,30,0,200106,3,1,"주부",11461734,6,6,1,8,"3차산업 종사자",0,0,200010,200000,0,3998,3921
31,1,0,2,5,10683,99,0,200106,2,2,"자영업",35723494,6,6,1,0,"",2,27,200305,298100,4688,0,4688
32,1,0,2,5,15194,99,1,200106,1,1,"주부",38109169,6,6,1,5,"3차산업 종사자",4,22,200208,918350,0,0,4909
33,1,0,2,4,8888,20,0,200107,16,8,"단순 노무직",16398268,6,6,1,2,"자영업",1,22,200002,304417,2858,0,9147
34,1,0,2,4,18888,20,0,200107,3,1,"주부",19827388,6,6,1,5,"2차산업 종사자",2,17,200402,101680,0,0,5369
35,1,0,1,5,34631,20,0,200107,1,5,"2차산업 종사자",32935106,6,99,1,1,"주부",2,23,200911,434539,5557,9811,5557
36,1,0,1,4,6569,99,0,200107,14,7,"1차산업 종사자",37102242,6,6,0,0,"",0,0,201009,211030,3560,0,3560
37,2,NA,2,4,14027,20,0,200107,15,1,"주부",53761263,6,6,1,3,"사무직",2,19,200302,442430,0,5923,5384
38,1,0,2,4,13427,40,0,200108,1,1,"주부",39052796,6,6,1,2,"자영업",2,17,200511,387659,0,5233,4559
39,1,0,2,4,8147,40,0,200108,9,1,"주부",28755148,6,8,1,6,"운전직",2,8,200903,198400,0,4168,4709
40,1,0,1,5,7916,20,0,200108,13,3,"사무직",23070333,6,6,1,1,"주부",2,22,201510,239603,4737,5426,4737
41,1,0,2,4,15311,40,0,200108,1,1,"주부",15284369,6,6,1,8,"단순 노무직",2,19,200102,370911,0,6169,3161
42,1,0,2,5,10000,30,1,200108,9,1,"주부",14661864,6,6,1,3,"사무직",1,35,200007,190250,0,5753,5735
43,1,0,2,4,27777,20,0,200108,16,5,"3차산업 종사자",23479401,6,6,1,6,"2차산업 종사자",1,18,200603,156900,3748,8206,7237
44,1,0,2,6,9861,20,0,200108,6,1,"주부",22399454,6,6,1,3,"사무직",1,33,200808,285722,0,4365,4326
45,1,0,2,5,10555,20,0,200108,9,5,"3차산업 종사자",59479946,6,6,1,6,"2차산업 종사자",2,27,200203,1153370,3706,5556,5520
46,1,0,2,6,6666,20,0,200109,13,5,"3차산업 종사자",46508529,6,6,1,5,"2차산업 종사자",0,0,201107,250850,0,3745,3953
47,1,0,2,4,10441,99,1,200109,9,1,"주부",25637391,7,8,1,8,"단순 노무직",3,18,200302,559850,0,0,3175
48,1,0,2,4,20416,20,1,200109,9,2,"자영업",58480871,10,99,1,3,"사무직",4,13,200608,587716,3657,5392,8201
49,1,0,2,5,15015,11,0,200109,9,1,"주부",168252203,6,6,1,4,"전문직",0,0,200312,1055621,0,5867,5799
50,1,0,2,6,9189,99,0,200109,4,1,"주부",89310615,6,7,1,7,"1차산업 종사자",1,34,200304,1442900,0,0,0
51,2,NA,2,4,26250,20,1,200110,3,2,"3차산업 종사자",162758082,6,99,1,3,"사무직",1,20,201601,2099765,4798,9717,10710
52,1,0,1,5,26944,20,0,200110,4,5,"2차산업 종사자",8355309,3,99,1,1,"주부",2,24,199807,42000,5755,7136,10026
53,1,0,1,7,12222,20,0,200110,1,8,"기타",29793646,6,6,0,0,"",0,0,200305,752813,0,1534,1534
54,1,1,2,5,5833,20,1,200111,14,1,"주부",4670372,6,6,1,0,"",1,21,200509,38900,0,5126,5141
55,1,0,2,5,4027,30,1,200111,16,2,"3차산업 종사자",41070351,6,99,1,0,"",1,28,201403,986841,3953,5006,3953
56,1,1,2,5,7271,11,0,200111,5,2,"자영업",136720853,6,6,1,2,"자영업",0,0,201505,1242454,4911,5408,5677
57,1,0,2,4,0,0,1,200112,9,6,"2차산업 종사자",88277470,6,6,1,6,"운전직",2,21,201108,1034374,3314,0,7988
58,1,0,2,7,25833,20,0,200112,2,1,"주부",5958728,6,6,0,0,"",0,0,200305,39667,0,2619,2621
59,1,0,2,4,14542,99,0,200112,1,5,"3차산업 종사자",40099583,6,6,0,0,"",0,0,200301,472900,3949,0,3949
60,2,NA,1,5,6707,12,0,200112,9,3,"2차산업 종사자",13323745,6,8,0,0,"",0,0,200210,197750,5126,5406,5126
61,1,0,1,3,8888,20,0,200112,9,6,"운전직",15475047,7,7,0,0,"",0,0,201207,175630,4208,3478,4208
62,1,0,1,4,19444,20,0,200201,9,3,"사무직",21350056,6,6,1,2,"자영업",2,15,200207,239345,5000,6152,10951
63,1,1,2,5,12326,12,1,200201,2,8,"3차산업 종사자",33991326,6,6,1,3,"사무직",4,26,200208,293493,2984,6122,8145
64,1,0,2,6,50972,20,0,200203,1,2,"자영업",133381160,6,8,1,2,"자영업",1,33,201406,1564160,5616,0,5754
65,2,NA,1,4,1603,13,0,200203,15,6,"운전직",5858640,6,6,1,1,"주부",3,13,200305,49150,3660,4900,3660
66,1,1,2,4,13333,20,0,200203,5,5,"3차산업 종사자",12386724,9,9,1,3,"기업/단체 임원",3,18,200208,371950,3187,3955,7527
67,1,0,2,4,0,0,0,200203,16,4,"교육관련직",117113523,1,99,1,2,"자영업",2,12,201511,3490955,5512,0,10700
68,1,0,2,4,30000,20,0,200205,9,6,"2차산업 종사자",102701437,4,99,1,3,"사무직",2,17,200306,1507852,4159,7652,9615
69,1,0,2,5,6291,12,0,200205,4,2,"자영업",116980784,8,8,1,6,"2차산업 종사자",2,27,201107,3132250,6034,5340,11319
70,1,0,1,6,3638,11,0,200206,13,2,"자영업",80557731,6,7,1,2,"3차산업 종사자",3,23,200305,631970,0,3491,4268
71,1,0,2,5,0,0,0,200207,2,5,"2차산업 종사자",25394528,6,6,1,5,"2차산업 종사자",1,27,200802,334716,3305,0,7094
72,1,0,2,6,8055,20,0,200207,16,1,"주부",29579013,6,6,1,5,"3차산업 종사자",0,0,200807,222503,0,5559,5512
73,2,NA,2,4,6250,30,0,200207,4,5,"3차산업 종사자",91802397,6,7,1,6,"2차산업 종사자",2,22,201002,799231,4279,4921,8695
74,1,0,2,4,9305,20,0,200208,9,1,"주부",11726715,6,6,1,3,"사무직",1,17,200305,91580,0,3962,4211
75,1,0,2,5,7092,12,0,200208,2,2,"자영업",35031840,6,6,1,6,"운전직",0,0,201103,255155,4351,5472,8065
76,1,0,1,5,9861,30,0,200208,4,5,"3차산업 종사자",26886714,6,6,1,1,"주부",3,21,199909,511900,4096,5969,4096
77,1,0,2,5,2704,13,0,200208,2,5,"3차산업 종사자",25697202,6,6,0,0,"",0,0,200401,327397,3458,4731,3458
78,1,0,2,5,8611,20,0,200209,11,4,"사무직",20066022,6,6,1,3,"사무직",2,22,200906,388682,4749,5867,10022
79,1,1,2,5,11409,99,0,200209,4,1,"주부",19310189,6,6,1,4,"교사",2,30,201011,166601,0,0,5079
80,1,0,2,6,4722,30,0,200210,10,8,"기타",25848033,6,6,1,6,"운전직",0,0,200603,217670,0,2666,2657
81,1,0,2,5,10277,20,0,200210,1,1,"주부",19065255,6,6,1,2,"자영업",1,18,200501,127770,0,4700,4895
82,1,0,2,5,2196,13,1,200210,16,1,"주부",22807201,6,6,1,0,"",2,28,200208,617900,0,4694,4694
83,1,0,2,6,0,11,0,200210,14,8,"단순 노무직",117742024,6,6,1,8,"기타",0,0,201103,1013719,0,0,3545
84,1,0,2,6,5689,99,1,200210,5,1,"주부",38544420,6,6,0,0,"",0,0,201002,473969,0,0,0
85,1,0,2,5,28888,20,1,200211,1,1,"주부",23891047,7,8,1,4,"전문직",2,29,200006,437600,0,7466,7328
86,1,1,2,4,14456,99,0,NA,0,0,"",17839198,6,6,0,0,"",NA,NA,200408,292186,0,0,0
87,1,0,2,5,8601,11,0,200211,17,5,"3차산업 종사자",57382549,7,8,1,7,"1차산업 종사자",0,0,201210,979025,3565,5340,7271
88,1,0,2,7,5281,11,1,198110,15,8,"기타",11233163,6,6,0,0,"",0,0,200105,95249,0,2866,2842
89,1,0,2,6,7338,12,1,199703,9,3,"사무직",14150907,6,6,1,5,"2차산업 종사자",0,0,200307,27640,0,1908,2463
90,1,0,2,6,2167,12,1,200111,5,2,"3차산업 종사자",265780511,4,99,0,0,"",0,0,200410,1218829,0,2740,2723
91,1,0,2,6,21250,30,1,199205,1,1,"주부",27594184,6,6,1,3,"사무직",0,0,200009,44470,0,2572,3186
92,1,1,2,6,2842,12,1,199903,11,1,"주부",106661466,7,7,0,0,"",0,0,200010,2723795,0,2714,2705
93,1,0,2,6,7777,20,1,199909,13,5,"3차산업 종사자",38454466,6,6,1,3,"사무직",1,35,200008,1230326,0,2583,2583
94,1,0,2,6,3949,12,1,199904,1,1,"주부",50756594,6,6,0,0,"",0,0,199806,387900,0,3527,3501
95,1,0,2,6,6666,20,1,198304,15,8,"기타",26667196,4,6,1,4,"공무원",0,0,201309,505368,0,3567,3771
96,1,0,2,6,8611,20,1,199809,9,2,"3차산업 종사자",205180448,6,8,1,5,"2차산업 종사자",1,26,200203,1752530,0,3323,0
98,1,0,2,6,0,0,1,199206,4,1,"주부",49923496,6,6,1,8,"2차산업 종사자",0,0,201508,400000,0,0,8684
99,1,0,2,6,1589,11,1,198208,14,1,"주부",199009356,6,6,0,0,"",0,0,200811,1368844,0,3247,3226
100,1,0,2,6,4081,13,0,200209,9,2,"자영업",18707651,4,6,1,2,"자영업",0,0,200909,88830,0,3354,4689
101,2,NA,2,6,16944,20,1,198707,7,1,"주부",22797444,6,6,0,0,"",0,0,200404,156640,0,8165,7905
102,1,0,2,6,8750,20,1,199604,1,8,"기타",175567836,6,6,1,5,"2차산업 종사자",0,0,201001,1458131,0,3067,2941
103,1,0,2,6,32222,20,1,198406,15,5,"2차산업 종사자",36743778,6,6,0,0,"",0,0,200001,343200,0,10768,10542
104,1,0,2,6,7778,12,1,198904,4,6,"2차산업 종사자",44543318,6,6,1,6,"2차산업 종사자",1,35,200908,357780,0,0,0
105,1,0,2,6,17222,20,1,199306,4,1,"주부",34918955,5,6,1,6,"운전직",1,35,200805,225144,0,6420,6420
106,2,NA,2,6,9305,30,1,200202,9,5,"3차산업 종사자",78031083,6,6,1,5,"2차산업 종사자",2,20,201011,1509326,0,4532,6662
107,1,1,2,6,23617,11,1,198410,9,1,"주부",1762800,6,6,0,0,"",0,0,200006,144300,0,6352,5904
108,1,0,2,6,0,0,0,199910,12,4,"교사",226268870,6,6,0,0,"",0,0,201307,2238280,5660,0,5660
109,1,0,2,6,88333,20,1,198906,4,1,"주부",14727510,8,8,1,0,"",1,26,201606,59700,0,12904,12949
110,1,0,2,6,7683,11,1,198606,15,1,"주부",66700377,2,99,1,6,"2차산업 종사자",1,34,201205,515322,0,4950,4857
111,1,0,2,5,6441,40,1,199107,15,2,"자영업",268123695,2,99,1,8,"기타",2,32,200904,2027760,5177,4849,5177
112,1,0,2,5,11944,30,0,200202,9,1,"주부",21037203,6,8,1,3,"사무직",1,34,200901,663302,0,4750,4750
113,1,0,2,5,2263,99,1,200202,14,1,"주부",71465789,10,99,1,7,"1차산업 종사자",2,32,200303,642180,0,0,0
114,1,0,2,5,10177,11,1,198911,5,4,"3차산업 종사자",10225187,6,6,1,8,"1차산업 종사자",0,0,200910,43300,3706,5676,5738
115,1,0,2,5,4816,12,1,198302,17,1,"주부",35507360,6,6,1,7,"1차산업 종사자",2,30,201512,445205,0,4532,4073
116,2,NA,2,5,10710,11,1,198502,3,5,"3차산업 종사자",15678001,1,99,1,8,"단순 노무직",2,29,201602,421977,3056,5790,5786
117,1,0,2,5,16111,20,1,199409,9,4,"사무직",105557022,6,6,1,2,"자영업",2,27,200307,566162,4370,6341,6400
118,1,0,2,5,8832,12,1,200007,9,5,"3차산업 종사자",59729609,6,6,1,0,"",2,27,200305,536800,3382,5402,3382
119,1,0,2,5,6944,30,1,200010,9,4,"전문직",13173202,7,7,0,0,"",0,0,200110,445650,3598,4831,3598
120,1,0,2,5,6805,20,1,199108,14,1,"주부",84866703,6,6,1,3,"단순 사무직",2,30,200303,582000,0,4880,4069
121,1,0,2,5,10277,30,1,199011,1,2,"자영업",78923648,6,6,1,2,"자영업",1,35,201301,988817,5009,5391,5565
122,1,0,2,5,8968,40,1,199602,9,5,"3차산업 종사자",50143022,6,6,1,5,"2차산업 종사자",2,30,200405,158500,3470,5154,7814
123,2,NA,2,5,9722,20,1,198808,16,1,"주부",29727858,6,6,1,3,"사무직",3,23,200404,327035,0,6672,4384
124,1,0,2,5,23888,20,1,200007,2,1,"주부",25681232,6,6,1,6,"2차산업 종사자",2,31,200807,370228,0,9147,5252
125,2,NA,2,5,2029,13,1,200102,10,1,"주부",47081790,6,6,1,3,"사무직",2,32,200109,1072410,0,4427,4089
126,1,1,2,5,15416,20,1,199106,16,5,"3차산업 종사자",11433036,7,7,1,0,"",2,27,201112,248708,3487,7882,3487
127,1,0,2,5,4544,13,1,198708,3,1,"주부",130538208,6,6,1,5,"2차산업 종사자",2,22,201303,1447443,0,5066,4212
128,1,0,2,5,4027,30,1,200206,9,2,"자영업",50502716,10,9,1,0,"",2,32,200908,1396143,5924,5063,5924
129,1,0,2,5,28586,12,1,200204,9,8,"3차산업 종사자",33299259,6,6,1,3,"사무직",2,20,200304,599400,4117,0,9989
130,1,0,2,5,0,0,1,NA,0,0,"",7464000,6,6,0,0,"",NA,NA,200804,368100,0,0,0
131,1,0,2,5,5972,30,1,199306,17,7,"1차산업 종사자",300330990,6,6,1,7,"1차산업 종사자",3,26,200910,4852651,5667,5895,9967
132,1,0,2,5,28888,20,1,199202,9,5,"3차산업 종사자",235492914,1,99,1,6,"운전직",1,32,200705,1894930,3901,10341,10368
133,1,0,2,5,7500,30,1,200005,9,1,"주부",61460135,2,6,1,4,"공무원",0,0,200207,880704,0,5254,4741
134,1,0,2,5,11615,40,1,199205,3,5,"2차산업 종사자",102824796,5,99,1,6,"운전직",1,28,200406,940064,3242,6580,6819
135,1,0,2,5,8874,12,1,199610,9,4,"의료직 종사자",102641830,1,99,1,2,"자영업",2,24,200301,998096,3225,5553,7985
136,1,0,2,5,11527,20,1,199606,10,4,"의료직 종사자",21165546,6,6,1,3,"공무원",2,24,200709,148790,3608,0,8427
137,2,NA,1,5,14305,20,0,200203,9,5,"2차산업 종사자",19713877,2,6,1,5,"3차산업 종사자",2,21,201301,100000,4778,4542,8654
138,1,0,2,5,28055,20,1,200202,1,2,"3차산업 종사자",27045096,6,6,1,3,"사무직",2,22,200408,681958,4938,8400,10952
139,2,NA,1,5,17222,30,0,199912,1,5,"2차산업 종사자",22220540,6,6,0,0,"",0,0,200004,1000000,5047,6646,5047
140,1,0,2,4,11111,30,1,199207,9,2,"자영업",32069499,6,6,1,6,"운전직",2,23,200305,344600,4326,6436,8283
141,1,0,2,4,6527,30,1,199608,2,5,"3차산업 종사자",86245013,6,7,1,6,"2차산업 종사자",2,14,201306,977399,5341,3300,9845
142,1,1,2,4,13333,20,1,199411,9,1,"주부",37909281,6,6,1,5,"2차산업 종사자",2,21,200403,156639,0,6324,4350
143,1,0,2,4,10833,30,1,199504,1,2,"3차산업 종사자",460688668,5,99,1,5,"3차산업 종사자",2,18,200107,2206722,4952,5588,8924
144,1,0,2,4,29305,20,1,199902,9,3,"사무직",21557368,6,6,1,2,"자영업",2,21,199910,194500,4389,6610,10217
145,1,1,2,4,16856,40,1,199509,1,2,"자영업",140698549,8,8,1,3,"사무직",3,20,200202,1230875,5302,6850,10550
146,1,0,2,4,11111,20,1,200202,13,1,"주부",35589899,6,6,1,8,"단순 노무직",2,21,201501,546899,0,4572,4690
147,1,0,2,4,10920,99,1,200012,9,2,"3차산업 종사자",104219725,6,6,1,0,"",1,12,200404,1099100,3713,0,3713
148,1,0,2,4,2880,13,1,199505,9,5,"3차산업 종사자",5734154,7,8,1,4,"사무직",2,20,201509,475324,2721,2993,6997
149,1,0,2,4,13141,20,1,199603,7,1,"주부",2567269,6,6,0,0,"",0,0,201212,207358,0,4111,0
151,1,0,2,4,14305,30,1,199909,1,1,"주부",43077725,8,8,1,4,"3차산업 종사자",1,22,200202,621372,0,6476,4621
152,1,0,2,4,53888,20,0,200003,9,3,"사무직",17750399,6,6,0,0,"",0,0,200104,350000,5006,10995,5006
153,1,0,2,4,0,0,1,199612,14,1,"주부",22452762,6,8,1,8,"단순 노무직",1,7,201602,392665,0,0,4269
154,1,0,2,4,14027,20,1,199810,10,1,"주부",110700,6,6,1,4,"종교인/역술인",0,0,199812,42100,0,0,3219
155,1,0,2,4,14166,30,1,200211,9,2,"3차산업 종사자",43574820,6,6,1,3,"사무직",1,19,201206,540864,3620,4918,8500
156,1,0,1,4,7638,20,0,200212,13,5,"2차산업 종사자",37064921,6,6,0,0,"",0,0,200305,329500,4836,4018,4836
157,1,0,1,5,8208,99,0,200212,3,4,"공무원",54980259,1,99,1,4,"3차산업 종사자",2,20,201509,544392,4877,0,7902
158,1,0,2,4,15277,20,0,200212,3,2,"자영업",115052286,6,6,1,2,"자영업",2,20,200611,1085834,4981,4163,9509
159,1,0,2,5,7603,11,0,200301,9,5,"3차산업 종사자",11799054,6,6,1,2,"자영업",2,21,200305,100000,4002,5423,9161
160,1,0,2,4,4027,30,0,200302,2,1,"주부",5796710,6,6,0,0,"",0,0,201402,29800,0,0,0
161,2,NA,1,5,2638,20,0,200302,14,6,"운전직",30103010,6,6,1,1,"주부",1,19,200302,1204700,4992,4568,4992
162,1,1,2,6,7623,12,0,200302,1,1,"주부",8859190,6,6,1,2,"자영업",0,0,200712,53530,0,4597,4549
163,1,0,1,4,12916,20,0,200303,2,6,"운전직",26548407,6,6,1,1,"주부",2,24,200506,155700,4812,4843,4812
164,1,0,2,4,2476,11,0,200304,16,1,"주부",55237237,8,8,1,6,"2차산업 종사자",2,21,200712,771994,0,4946,3476
165,1,0,2,6,6666,30,0,200304,2,5,"의료직 종사자",44599570,6,6,1,6,"운전직",0,0,200409,277939,0,2849,3010
166,1,0,2,5,19861,20,0,200305,11,4,"교사",105409406,6,6,1,4,"교육관련직",2,24,201112,507309,5210,10074,10378
167,1,0,1,6,18308,40,0,200305,1,2,"자영업",168846676,6,6,1,5,"3차산업 종사자",2,32,200309,217200,0,3363,0
168,1,0,2,5,4609,12,0,200305,11,1,"주부",0,7,8,0,0,"",0,0,200402,161200,0,4959,4971
169,1,0,1,6,19444,20,0,200305,5,7,"1차산업 종사자",12372648,3,6,1,1,"주부",1,33,200807,248942,0,5107,7163
205,1,0,2,8,55555,20,0,NA,0,0,"",1729850,6,6,0,0,"",NA,NA,200305,14500,0,7127,0
206,1,0,1,8,11818,40,0,200306,13,2,"자영업",27594800,6,6,1,1,"주부",0,0,200008,316450,0,1516,1545
207,1,0,2,8,9055,99,0,200306,15,2,"자영업",1700876,6,6,0,0,"",0,0,200306,28400,0,0,0
208,1,0,2,8,1966,13,0,200306,13,1,"주부",1659104,6,6,0,0,"",0,0,200305,13900,0,1279,1268
210,1,0,2,8,18098,11,0,200303,15,8,"기타",6095040,6,6,0,0,"",0,0,201507,50792,0,0,0
211,1,0,1,8,3946,40,0,NA,0,0,"",3523480,6,6,0,0,"",NA,NA,200305,29500,0,1402,0
212,1,0,2,8,9444,30,0,NA,0,0,"",5622009,6,6,0,0,"",NA,NA,200305,13900,0,1365,0
213,1,0,2,7,15000,30,0,200306,9,8,"기타",38706064,6,6,1,8,"단순 노무직",0,0,200305,111085,0,1630,1666
214,1,0,2,7,0,0,0,NA,0,0,"",1789500,6,6,0,0,"",NA,NA,200305,15000,0,0,0
216,1,0,2,7,11776,99,0,200306,2,1,"주부",24858168,6,6,0,0,"",NA,NA,200304,13158,0,0,0
217,1,0,2,7,3360,30,0,NA,0,0,"",1295500,6,6,0,0,"",NA,NA,200208,21592,0,1253,0
218,1,0,2,7,3711,12,0,200306,4,8,"기타",20741427,6,6,0,0,"",0,0,200305,324900,0,1497,1488
219,1,0,1,7,4077,40,0,200306,11,8,"기타",18544722,6,6,1,1,"주부",0,0,200305,50050,0,1514,1625
220,1,0,2,7,2451,13,0,200306,16,8,"기타",15098742,6,6,0,0,"",0,0,200305,102648,0,1478,1477
221,1,0,2,7,10833,20,0,200306,16,1,"주부",12251817,6,6,0,0,"",0,0,200109,109759,0,1744,1744
222,1,0,2,7,31666,20,0,200306,9,1,"주부",13657262,6,6,0,0,"",0,0,200305,88100,0,3468,3468
224,1,0,2,7,19777,11,0,200306,9,7,"1차산업 종사자",5532600,5,99,1,7,"1차산업 종사자",0,0,200103,333800,0,1970,0
227,1,0,1,7,22777,20,0,200306,4,8,"기타",6906630,6,6,0,0,"",0,0,200306,57960,0,3393,3572
228,1,0,2,7,12083,20,0,200306,9,8,"기타",27800,8,8,0,0,"",0,0,199903,61550,0,1781,1858
229,1,0,1,7,0,0,0,200306,1,6,"운전직",2413963,6,6,1,1,"주부",0,0,200305,20250,0,0,0
231,1,0,1,7,17777,20,0,200306,9,5,"2차산업 종사자",11716083,6,6,0,0,"",0,0,200305,98100,0,1985,2036
234,1,0,1,7,5237,11,0,200306,13,7,"1차산업 종사자",2782353,6,6,1,1,"주부",0,0,200305,379650,0,1705,2260
235,1,0,2,7,19958,30,0,200306,1,2,"자영업",70950316,6,6,1,2,"자영업",0,0,200708,1006802,0,2372,6145
236,1,0,1,7,9027,30,0,200306,9,2,"자영업",28590633,7,7,0,0,"",0,0,200708,541372,0,1647,1634
237,1,0,2,7,4225,13,0,200306,1,8,"기타",380727549,6,6,1,2,"자영업",0,0,200608,1094378,0,1375,1558
238,1,0,2,7,8634,12,0,NA,0,0,"",15333003,6,6,0,0,"",NA,NA,200305,128500,0,1520,0
239,2,NA,2,7,9444,20,0,200306,5,1,"주부",5088559,6,6,0,0,"",0,0,200305,42700,0,1854,1818
241,2,NA,2,7,1935,12,0,200306,2,1,"주부",6390592,6,6,0,0,"",0,0,200305,83200,0,1428,1422
242,1,0,2,7,4179,13,0,200306,9,8,"기타",32231742,6,6,0,0,"",0,0,200212,419474,0,1588,1571
244,1,0,2,7,29027,20,0,200306,9,1,"주부",7246366,6,6,0,0,"",0,0,200305,60700,0,3255,3255
245,1,0,2,7,9041,11,0,200306,13,1,"주부",11607092,6,6,1,3,"사무직",0,0,200611,57150,0,1937,1973
246,1,0,2,7,3775,99,0,200306,10,1,"주부",25392000,6,6,1,3,"공무원",0,0,199911,311600,0,0,0
247,1,0,2,7,1884,11,0,200306,15,8,"1차산업 종사자",2939900,6,6,1,8,"1차산업 종사자",0,0,200005,32800,0,1585,1626
248,1,0,2,7,801,11,0,200306,14,8,"기타",20431452,6,6,0,0,"",0,0,201510,48929,0,1580,1573
249,1,0,2,7,8407,11,0,200306,2,1,"주부",8555040,6,6,1,5,"3차산업 종사자",0,0,200305,39000,0,1823,1817
250,1,0,2,7,46685,20,0,200306,1,8,"기타",9308180,6,6,1,0,"",0,0,200007,58800,0,0,1546
251,1,0,1,7,13611,20,0,200306,15,6,"운전직",19289670,6,6,1,0,"",0,0,200305,115750,0,2465,3708
252,2,NA,2,7,26189,11,0,200306,4,1,"주부",53325233,6,6,1,8,"기타",0,0,200101,400000,0,2267,2245
253,1,0,1,7,6944,20,0,200306,14,7,"1차산업 종사자",23622461,6,6,1,1,"주부",0,0,200002,457183,0,1759,1918
254,1,0,2,7,8264,11,0,200306,13,1,"주부",3276000,6,6,0,0,"",0,0,201002,27300,0,1997,1984
255,1,0,1,7,22465,11,0,200306,9,7,"1차산업 종사자",73061476,6,6,1,7,"1차산업 종사자",0,0,200305,566360,0,2214,3866
