다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기압
,검색구분 : 월
,지점명 : 전체
,기간 : 2010 ~ 2020  01~12



선텍 전체 통계
일시,평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa)
 2014-05,1011.8,1023.8,998.1,1012.5,1027.4,999.6
 2014-06,1006.7,1014.3,1001.1,1007.8,1015.2,1002.0
 2014-07,1007.9,1015.5,993.7,1008.9,1015.8,996.0
 2014-08,1008.5,1018.7,997.3,1009.4,1020.3,999.0
 2014-09,1013.4,1021.4,1002.4,1014.4,1023.9,1004.1
 2014-10,1019.2,1027.7,1006.8,1021.0,1031.4,1008.2
 2014-11,1021.2,2560.0,1007.8,1022.2,1032.8,1010.8
 2014-12,1024.1,1036.1,1011.2,1025.3,1039.3,1012.9
 2015-01,1023.9,1035.9,1008.0,1025.5,1040.8,1013.5
 2015-02,1021.6,1034.1,1011.0,1023.4,1037.6,1012.3
 2015-03,1021.3,1036.0,1008.9,1022.4,1038.2,1009.7
 2015-04,1016.1,1028.8,999.8,1017.4,1031.1,1001.6
 2015-05,1010.3,1022.7,1002.5,1011.0,1023.9,1003.1
 2015-06,1007.6,1017.3,995.3,1008.7,1019.0,1000.9
 2015-07,1007.6,1017.3,992.2,1008.9,1018.9,993.8
 2015-08,1008.6,1016.2,999.9,1009.5,1017.8,1002.4
 2015-09,1014.2,1026.8,1004.7,1015.6,1028.7,1006.9
 2015-10,1018.9,1030.9,999.3,1019.5,1032.9,1001.6
 2015-11,1022.6,1031.6,1012.4,1024.6,1034.9,1013.4
 2015-12,1024.9,1036.4,1009.9,1026.1,1040.3,1012.4
 2016-01,1024.5,1034.3,1014.4,1026.2,1036.1,1019.0
 2016-02,1024.6,1037.0,1003.0,1025.6,1038.1,1004.6
 2016-03,1021.4,1030.6,1008.6,1022.5,1032.3,1011.1
 2016-04,1014.0,1024.5,997.5,1015.0,1026.3,1000.0
 2016-05,1012.4,1026.5,994.6,1013.2,1029.7,998.0
 2016-06,1008.4,1015.5,996.3,1009.4,1017.5,999.7
 2016-07,1008.7,1018.4,1000.0,1009.8,1018.7,1000.5
 2016-08,1006.0,1012.1,995.4,1007.3,1016.4,997.7
 2016-09,1013.6,1021.9,1001.2,1014.4,1025.6,1002.6
 2016-10,1018.7,1031.3,1003.9,1020.1,1033.7,1007.0
 2016-11,1022.5,1033.9,1011.0,1023.8,1036.7,1012.6
 2016-12,1024.3,1034.4,1009.8,1025.6,1036.9,1012.3
 2017-01,1024.8,1036.3,1011.3,1026.4,1041.1,1013.7
 2017-02,1023.1,1033.5,1007.3,1024.6,1036.4,1009.0
 2017-03,1019.6,1027.1,1010.3,1020.7,1030.4,1012.8
 2017-04,1013.7,1026.6,995.6,1014.4,1029.0,998.1
 2017-05,1013.1,1025.4,1001.2,1013.7,1026.6,1001.8
 2017-06,1009.0,1019.8,998.7,1010.0,1021.3,1000.2
 2017-07,1008.6,1014.4,1001.3,1009.5,1015.5,1003.0
 2017-08,1007.8,1017.1,996.3,1008.7,1020.1,997.8
 2017-09,1012.7,1023.7,1002.3,1013.8,1025.7,1005.6
 2017-10,1020.0,1028.4,1007.7,1022.1,1032.4,1012.2
 2017-11,1022.8,1030.8,1013.9,1023.9,1035.6,1015.1
 2017-12,1025.7,1033.4,1008.9,1026.8,1039.5,1011.3
 2018-01,1023.7,1033.9,1009.2,1025.1,1037.8,1010.5
 2018-02,1023.2,1030.2,1000.7,1024.8,1034.4,1004.6
 2018-03,1020.0,1032.7,1003.2,1021.1,1036.6,1004.9
 2018-04,1016.2,1027.1,1004.1,1016.9,1028.5,1006.7
 2018-05,1012.1,1025.2,1001.7,1013.1,1026.3,1003.7
 2018-06,1008.3,1016.2,999.8,1009.5,1018.5,1000.6
 2018-07,1008.8,1019.0,994.7,1009.8,1019.5,998.0
 2018-08,1007.9,1015.5,990.3,1009.1,1017.6,994.1
 2018-09,1013.2,1023.3,995.3,1014.4,1027.4,996.7
 2018-10,1018.5,1027.1,999.7,1019.6,1031.8,1003.9
 2018-11,1023.1,1030.5,1011.0,1024.4,1033.5,1012.4
 2018-12,1026.5,1038.3,1012.6,1028.4,1044.3,1014.7
 2019-01,1025.7,1036.3,1017.4,1027.2,1040.1,1018.9
 2019-02,1023.5,1035.6,1010.5,1025.2,1037.5,1012.0
 2019-03,1017.7,1026.6,1003.4,1018.8,1028.7,1004.9
 2019-04,1015.3,1026.1,1004.5,1016.2,1028.1,1005.9
 2019-05,1012.5,1019.5,1004.7,1013.2,1022.7,1008.6
 2019-06,1007.4,1016.3,994.4,1008.5,1018.3,995.7
 2019-07,1006.8,1013.8,999.5,1008.1,1014.7,1001.2
 2019-08,1007.2,1016.1,990.8,1008.1,1017.8,1003.2
 2019-09,1015.0,1025.6,1001.0,1016.3,1028.6,1001.7
 2019-10,1018.1,1030.1,1001.6,1020.0,1032.7,1005.0
 2019-11,1022.1,1033.4,1006.4,1023.7,1037.6,1009.5
 2019-12,1025.3,1038.5,1013.5,1026.8,1040.6,1014.9
 2020-01,1022.9,1034.3,1005.1,1024.7,1036.5,1007.9
 2020-02,1024.3,1035.9,1011.6,1025.8,1041.6,1013.2
 2020-03,1017.9,1027.9,1005.0,1019.1,1029.8,1006.6
 2020-04,,1027.4,1010.0,,1029.8,1012.9
 평균,1016.6,1042.6,1003.8,1017.9,1029.4,1006.0



